Method	Category	Dataset	Size	CompSize	NC
cryfa	V	out509	50970	17854	1.40113
cryfa	F	out60	53075	18590	1.40103
cryfa	V	out1039	51614	18078	1.40101
cryfa	F	out120	52345	18334	1.40101
cryfa	V	out3900	50200	17582	1.40095
cryfa	V	out3438	50020	17518	1.40087
cryfa	B	out264	52899	18526	1.40085
cryfa	V	out4068	50341	17630	1.40084
cryfa	V	out3257	52032	18222	1.40083
cryfa	V	out3173	52627	18430	1.4008
cryfa	V	out4342	50252	17598	1.40078
cryfa	V	out1265	50481	17678	1.40076
cryfa	V	out2112	50344	17630	1.40076
cryfa	V	out1198	51395	17998	1.40075
cryfa	V	out304	50664	17742	1.40075
cryfa	V	out5073	49979	17502	1.40074
cryfa	V	out1268	50619	17726	1.40073
cryfa	V	out3081	52584	18414	1.40073
cryfa	V	out1247	51671	18094	1.4007
cryfa	F	out373	50483	17678	1.4007
cryfa	V	out3950	51032	17870	1.40068
cryfa	V	out3110	53957	18894	1.40067
cryfa	V	out3549	50667	17742	1.40067
cryfa	V	out482	50530	17694	1.40067
cryfa	B	out422	59623	20878	1.40066
cryfa	V	out4512	50760	17774	1.40063
cryfa	V	out1226	50943	17838	1.40062
cryfa	V	out1049	54006	18910	1.40058
cryfa	V	out3254	52041	18222	1.40058
cryfa	V	out1176	50488	17678	1.40057
cryfa	V	out3350	53641	18782	1.40057
cryfa	V	out1152	51951	18190	1.40055
cryfa	V	out3199	51631	18078	1.40055
cryfa	V	out4639	50672	17742	1.40053
cryfa	V	out1225	52866	18510	1.40052
cryfa	V	out2965	51130	17902	1.4005
cryfa	V	out968	50216	17582	1.4005
cryfa	V	out321	50902	17822	1.40049
cryfa	V	out1072	50080	17534	1.40047
cryfa	V	out1211	50857	17806	1.40047
cryfa	V	out373	50857	17806	1.40047
cryfa	V	out1995	52274	18302	1.40046
cryfa	V	out2874	51224	17934	1.40043
cryfa	V	out3355	51544	18046	1.40043
cryfa	V	out3359	53692	18798	1.40043
cryfa	V	out3439	50219	17582	1.40042
cryfa	V	out4084	53281	18654	1.40042
cryfa	V	out1763	50585	17710	1.40041
cryfa	V	out1189	50723	17758	1.40039
cryfa	F	out11	51957	18190	1.40038
cryfa	V	out3252	52597	18414	1.40038
cryfa	V	out3543	52003	18206	1.40038
cryfa	V	out4801	50404	17646	1.40036
cryfa	V	out334	53238	18638	1.40035
cryfa	V	out1012	52965	18542	1.40032
cryfa	V	out1174	53742	18814	1.40032
cryfa	V	out1256	50223	17582	1.40031
cryfa	F	out52	56850	19902	1.40031
cryfa	V	out3200	52098	18238	1.40028
cryfa	V	out1099	51642	18078	1.40025
cryfa	F	out133	54110	18942	1.40025
cryfa	V	out2708	50408	17646	1.40025
cryfa	F	out362	50545	17694	1.40025
cryfa	V	out4600	53059	18574	1.40025
cryfa	V	out5446	53608	18766	1.40023
cryfa	V	out3576	51643	18078	1.40022
cryfa	V	out3893	50089	17534	1.40022
cryfa	V	out3255	53792	18830	1.4002
cryfa	V	out776	55346	19374	1.4002
cryfa	V	out3347	52924	18526	1.40019
cryfa	V	out4028	50090	17534	1.40019
cryfa	V	out1104	52513	18382	1.40018
cryfa	V	out3213	53290	18654	1.40018
cryfa	V	out3135	51462	18014	1.40017
cryfa	V	out1139	55942	19582	1.40016
cryfa	V	out1273	51554	18046	1.40016
cryfa	V	out3548	53428	18702	1.40016
cryfa	V	out741	52148	18254	1.40016
cryfa	F	out94	50320	17614	1.40015
cryfa	V	out312	51418	17998	1.40013
cryfa	V	out3201	51875	18158	1.40013
cryfa	V	out3239	53978	18894	1.40012
cryfa	V	out1207	53202	18622	1.40009
cryfa	V	out2104	60333	21118	1.40009
cryfa	V	out324	50048	17518	1.40009
cryfa	V	out3415	50185	17566	1.40009
cryfa	V	out3351	53157	18606	1.40007
cryfa	V	out4580	53797	18830	1.40007
cryfa	V	out1140	51786	18126	1.40006
cryfa	V	out3432	54529	19086	1.40006
cryfa	V	out396	52609	18414	1.40006
cryfa	V	out3010	51878	18158	1.40005
cryfa	V	out1066	53067	18574	1.40004
cryfa	V	out302	51284	17950	1.40004
cryfa	V	out3353	53204	18622	1.40004
cryfa	V	out3618	53844	18846	1.40004
cryfa	V	out1022	52290	18302	1.40003
cryfa	P	out1319	152356	53326	1.40003
cryfa	V	out2458	51330	17966	1.40003
cryfa	V	out3211	55307	19358	1.40003
cryfa	V	out1170	53342	18670	1.40002
cryfa	V	out1214	54211	18974	1.40001
cryfa	V	out3609	51331	17966	1.40001
cryfa	V	out1881	169502	59326	1.4
cryfa	V	out285	54074	18926	1.4
cryfa	V	out5673	54394	19038	1.4
cryfa	V	out1185	50189	17566	1.39998
cryfa	V	out1994	53709	18798	1.39998
cryfa	V	out2972	50601	17710	1.39997
cryfa	V	out5259	51698	18094	1.39997
cryfa	V	out1821	57413	20094	1.39996
cryfa	V	out3181	54350	19022	1.39996
cryfa	V	out3348	52110	18238	1.39996
cryfa	F	out138	59562	20846	1.39995
cryfa	V	out3075	58191	20366	1.39994
cryfa	V	out4601	52065	18222	1.39994
cryfa	V	out2971	50008	17502	1.39993
cryfa	V	out1240	53163	18606	1.39992
cryfa	V	out1279	51197	17918	1.39992
cryfa	V	out3048	53940	18878	1.39992
cryfa	V	out3078	54077	18926	1.39992
cryfa	V	out1258	52203	18270	1.39991
cryfa	V	out3329	52615	18414	1.3999
cryfa	V	out1852	58970	20638	1.39989
cryfa	B	out2411	53667	18782	1.39989
cryfa	V	out3045	51564	18046	1.39989
cryfa	F	out323	59656	20878	1.39989
cryfa	V	out788	50878	17806	1.39989
cryfa	F	out114	55999	19598	1.39988
cryfa	V	out3043	54216	18974	1.39988
cryfa	V	out3508	56136	19646	1.39988
cryfa	F	out107	60571	21198	1.39987
cryfa	V	out1114	55131	19294	1.39986
cryfa	V	out2037	58926	20622	1.39985
cryfa	V	out3074	50880	17806	1.39984
cryfa	V	out309	54309	19006	1.39984
cryfa	V	out3202	53989	18894	1.39984
cryfa	V	out1341	57144	19998	1.39983
cryfa	V	out1237	58653	20526	1.39982
cryfa	V	out300	52938	18526	1.39982
cryfa	V	out1230	59888	20958	1.39981
cryfa	V	out263	52161	18254	1.39981
cryfa	V	out743	59568	20846	1.39981
cryfa	V	out1248	49967	17486	1.3998
cryfa	V	out2108	56688	19838	1.3998
cryfa	V	out3851	50104	17534	1.3998
cryfa	V	out388	53533	18734	1.3998
cryfa	V	out4019	54859	19198	1.3998
cryfa	V	out1160	52894	18510	1.39978
cryfa	V	out195	50745	17758	1.39978
cryfa	V	out351	54997	19246	1.39978
