k	mut	name	unqRat	unqCnt	notUnqCnt	totCnt
1	0	1-syn-mut_0	0	0	5000000	5000000
1	1	1-syn-mut_1	0	0	5000000	5000000
1	2	1-syn-mut_2	0	0	5000000	5000000
1	3	1-syn-mut_3	0	0	5000000	5000000
1	4	1-syn-mut_4	0	0	5000000	5000000
1	5	1-syn-mut_5	0	0	5000000	5000000
1	6	1-syn-mut_6	0	0	5000000	5000000
1	7	1-syn-mut_7	0	0	5000000	5000000
1	8	1-syn-mut_8	0	0	5000000	5000000
1	9	1-syn-mut_9	0	0	5000000	5000000
1	10	1-syn-mut_10	0	0	5000000	5000000
1	11	1-syn-mut_11	0	0	5000000	5000000
1	12	1-syn-mut_12	0	0	5000000	5000000
1	13	1-syn-mut_13	0	0	5000000	5000000
1	14	1-syn-mut_14	0	0	5000000	5000000
1	15	1-syn-mut_15	0	0	5000000	5000000
1	16	1-syn-mut_16	0	0	5000000	5000000
1	17	1-syn-mut_17	0	0	5000000	5000000
1	18	1-syn-mut_18	0	0	5000000	5000000
1	19	1-syn-mut_19	0	0	5000000	5000000
1	20	1-syn-mut_20	0	0	5000000	5000000
1	21	1-syn-mut_21	0	0	5000000	5000000
1	22	1-syn-mut_22	0	0	5000000	5000000
1	23	1-syn-mut_23	0	0	5000000	5000000
1	24	1-syn-mut_24	0	0	5000000	5000000
1	25	1-syn-mut_25	0	0	5000000	5000000
1	26	1-syn-mut_26	0	0	5000000	5000000
1	27	1-syn-mut_27	0	0	5000000	5000000
1	28	1-syn-mut_28	0	0	5000000	5000000
1	29	1-syn-mut_29	0	0	5000000	5000000
1	30	1-syn-mut_30	0	0	5000000	5000000
1	31	1-syn-mut_31	0	0	5000000	5000000
1	32	1-syn-mut_32	0	0	5000000	5000000
1	33	1-syn-mut_33	0	0	5000000	5000000
1	34	1-syn-mut_34	0	0	5000000	5000000
1	35	1-syn-mut_35	0	0	5000000	5000000
1	36	1-syn-mut_36	0	0	5000000	5000000
1	37	1-syn-mut_37	0	0	5000000	5000000
1	38	1-syn-mut_38	0	0	5000000	5000000
1	39	1-syn-mut_39	0	0	5000000	5000000
1	40	1-syn-mut_40	0	0	5000000	5000000
1	41	1-syn-mut_41	0	0	5000000	5000000
1	42	1-syn-mut_42	0	0	5000000	5000000
1	43	1-syn-mut_43	0	0	5000000	5000000
1	44	1-syn-mut_44	0	0	5000000	5000000
1	45	1-syn-mut_45	0	0	5000000	5000000
1	46	1-syn-mut_46	0	0	5000000	5000000
1	47	1-syn-mut_47	0	0	5000000	5000000
1	48	1-syn-mut_48	0	0	5000000	5000000
1	49	1-syn-mut_49	0	0	5000000	5000000
1	50	1-syn-mut_50	0	0	5000000	5000000
2	51	2-syn-mut_0	0	0	5000000	5000000
2	1	2-syn-mut_1	0	0	5000000	5000000
2	2	2-syn-mut_2	0	0	5000000	5000000
2	3	2-syn-mut_3	0	0	5000000	5000000
2	4	2-syn-mut_4	0	0	5000000	5000000
2	5	2-syn-mut_5	0	0	5000000	5000000
2	6	2-syn-mut_6	0	0	5000000	5000000
2	7	2-syn-mut_7	0	0	5000000	5000000
2	8	2-syn-mut_8	0	0	5000000	5000000
2	9	2-syn-mut_9	0	0	5000000	5000000
2	10	2-syn-mut_10	0	0	5000000	5000000
2	11	2-syn-mut_11	0	0	5000000	5000000
2	12	2-syn-mut_12	0	0	5000000	5000000
2	13	2-syn-mut_13	0	0	5000000	5000000
2	14	2-syn-mut_14	0	0	5000000	5000000
2	15	2-syn-mut_15	0	0	5000000	5000000
2	16	2-syn-mut_16	0	0	5000000	5000000
2	17	2-syn-mut_17	0	0	5000000	5000000
2	18	2-syn-mut_18	0	0	5000000	5000000
2	19	2-syn-mut_19	0	0	5000000	5000000
2	20	2-syn-mut_20	0	0	5000000	5000000
2	21	2-syn-mut_21	0	0	5000000	5000000
2	22	2-syn-mut_22	0	0	5000000	5000000
2	23	2-syn-mut_23	0	0	5000000	5000000
2	24	2-syn-mut_24	0	0	5000000	5000000
2	25	2-syn-mut_25	0	0	5000000	5000000
