domain	nc	size	name
Archaea	0.941155	640304	UP000000242_399549.acs
Archaea	0.937432	454805	UP000000254_399550.acs
Archaea	0.933076	399079	UP000000262_453591.acs
Archaea	0.928728	449347	UP000000346_666510.acs
Archaea	0.938675	522529	UP000000365_410358.acs
Archaea	0.893916	1011784	UP000000390_795797.acs
Archaea	0.889281	666791	UP000000391_644295.acs
Archaea	0.936784	471263	UP000000438_263820.acs
Archaea	0.918026	865185	UP000000459_1094980.acs
Archaea	0.931327	637680	UP000000536_69014.acs
Archaea	0.904508	680494	UP000000554_64091.acs
Archaea	0.937551	151454	UP000000578_228908.acs
Archaea	0.918294	490599	UP000000590_267377.acs
Archaea	0.892002	1004248	UP000000595_192952.acs
Archaea	0.916158	544134	UP000000641_368408.acs
Archaea	0.930853	889879	UP000000663_351160.acs
Archaea	0.932373	508086	UP000000674_349307.acs
Archaea	0.896676	1011093	UP000000740_416348.acs
Archaea	0.87171	623813	UP000000758_414004.acs
Archaea	0.931576	493620	UP000000792_436308.acs
Archaea	0.896183	505166	UP000000805_243232.acs
Archaea	0.926309	577545	UP000001013_186497.acs
Archaea	0.91592	757948	UP000001015_273063.acs
Archaea	0.935318	631737	UP000001018_330779.acs
Archaea	0.948118	453232	UP000001024_273075.acs
Archaea	0.927731	536901	UP000001037_694429.acs
Archaea	0.938909	589724	UP000001059_547558.acs
Archaea	0.915527	439175	UP000001106_419665.acs
Archaea	0.928978	600938	UP000001137_397948.acs
Archaea	0.907299	1200597	UP000001169_272569.acs
Archaea	0.932426	537386	UP000001304_583356.acs
Archaea	0.93947	467080	UP000001400_439481.acs
Archaea	0.931252	636517	UP000001488_593117.acs
Archaea	0.928376	610932	UP000001567_340102.acs
Archaea	0.933129	475001	UP000001686_374847.acs
Archaea	0.90837	957314	UP000001746_485914.acs
Archaea	0.906969	500958	UP000001826_190192.acs
Archaea	0.902689	1227618	UP000001879_547559.acs
Archaea	0.926159	852371	UP000001882_304371.acs
Archaea	0.935146	478743	UP000001901_572546.acs
Archaea	0.885131	1473976	UP000001903_543526.acs
Archaea	0.915516	493630	UP000001931_339860.acs
Archaea	0.917556	996237	UP000001941_323259.acs
Archaea	0.850329	827883	UP000001974_273057.acs
Archaea	0.929154	772216	UP000001975_362976.acs
Archaea	0.910172	676646	UP000001979_259564.acs
Archaea	0.926015	551525	UP000001992_420247.acs
Archaea	0.906483	407002	UP000002061_573063.acs
Archaea	0.927859	661659	UP000002199_224325.acs
Archaea	0.92949	383747	UP000002315_523846.acs
Archaea	0.940653	397285	UP000002376_633148.acs
Archaea	0.926262	727371	UP000002408_456442.acs
Archaea	0.902647	654950	UP000002439_178306.acs
Archaea	0.892475	818093	UP000002457_521011.acs
Archaea	0.838978	1392324	UP000002487_188937.acs
Archaea	0.92217	492043	UP000002518_272557.acs
Archaea	0.93008	449830	UP000002593_415426.acs
Archaea	0.930919	660597	UP000002613_589924.acs
Archaea	0.930008	553635	UP000002654_768679.acs
Archaea	0.904652	810134	UP000002698_348780.acs
Archaea	0.933191	555561	UP000002727_523850.acs
