ref	tar	nrc	ir	ir.label
HS1	PT1	0.31172	0	"Without IR (0)"
HS2	PT1	0.89028	0	"Without IR (0)"
HS3	PT1	0.89178	0	"Without IR (0)"
HS4	PT1	0.89262	0	"Without IR (0)"
HS5	PT1	0.89299	0	"Without IR (0)"
HS6	PT1	0.89327	0	"Without IR (0)"
HS7	PT1	0.89164	0	"Without IR (0)"
HS8	PT1	0.89555	0	"Without IR (0)"
HS9	PT1	0.89737	0	"Without IR (0)"
HS10	PT1	0.89578	0	"Without IR (0)"
HS11	PT1	0.89558	0	"Without IR (0)"
HS12	PT1	0.89466	0	"Without IR (0)"
HS13	PT1	0.90128	0	"Without IR (0)"
HS14	PT1	0.89969	0	"Without IR (0)"
HS15	PT1	0.90167	0	"Without IR (0)"
HS16	PT1	0.90194	0	"Without IR (0)"
HS17	PT1	0.90153	0	"Without IR (0)"
HS18	PT1	0.9041	0	"Without IR (0)"
HS19	PT1	0.90288	0	"Without IR (0)"
HS20	PT1	0.90486	0	"Without IR (0)"
HS21	PT1	0.91152	0	"Without IR (0)"
HS22	PT1	0.91022	0	"Without IR (0)"
HSX	PT1	0.8925	0	"Without IR (0)"
HSY	PT1	0.91484	0	"Without IR (0)"
HSMT	PT1	1	0	"Without IR (0)"
HSAL	PT1	0.88991	0	"Without IR (0)"
HSUL	PT1	0.93454	0	"Without IR (0)"
HSUP	PT1	0.94126	0	"Without IR (0)"
HS1	PT2A	0.88553	0	"Without IR (0)"
HS2	PT2A	0.28931	0	"Without IR (0)"
HS3	PT2A	0.8888	0	"Without IR (0)"
HS4	PT2A	0.88953	0	"Without IR (0)"
HS5	PT2A	0.89005	0	"Without IR (0)"
HS6	PT2A	0.89019	0	"Without IR (0)"
HS7	PT2A	0.89026	0	"Without IR (0)"
HS8	PT2A	0.89221	0	"Without IR (0)"
HS9	PT2A	0.8932	0	"Without IR (0)"
HS10	PT2A	0.89252	0	"Without IR (0)"
HS11	PT2A	0.89234	0	"Without IR (0)"
HS12	PT2A	0.89176	0	"Without IR (0)"
HS13	PT2A	0.8969	0	"Without IR (0)"
HS14	PT2A	0.89583	0	"Without IR (0)"
HS15	PT2A	0.89736	0	"Without IR (0)"
HS16	PT2A	0.89772	0	"Without IR (0)"
HS17	PT2A	0.89813	0	"Without IR (0)"
HS18	PT2A	0.89973	0	"Without IR (0)"
HS19	PT2A	0.89991	0	"Without IR (0)"
HS20	PT2A	0.90084	0	"Without IR (0)"
HS21	PT2A	0.90595	0	"Without IR (0)"
HS22	PT2A	0.90524	0	"Without IR (0)"
HSX	PT2A	0.88924	0	"Without IR (0)"
HSY	PT2A	0.90953	0	"Without IR (0)"
HSMT	PT2A	1	0	"Without IR (0)"
HSAL	PT2A	0.89512	0	"Without IR (0)"
HSUL	PT2A	0.9251	0	"Without IR (0)"
HSUP	PT2A	0.93173	0	"Without IR (0)"
HS1	PT2B	0.89679	0	"Without IR (0)"
HS2	PT2B	0.27741	0	"Without IR (0)"
HS3	PT2B	0.89807	0	"Without IR (0)"
HS4	PT2B	0.89848	0	"Without IR (0)"
HS5	PT2B	0.89907	0	"Without IR (0)"
HS6	PT2B	0.89942	0	"Without IR (0)"
HS7	PT2B	0.89989	0	"Without IR (0)"
HS8	PT2B	0.90127	0	"Without IR (0)"
HS9	PT2B	0.90231	0	"Without IR (0)"
