ref	tar	nrc
PT1	HS1	0.03702
PT2A	HS1	0.00792
PT2B	HS1	0.00679
PT3	HS1	0.0074
PT4	HS1	0.00695
PT5	HS1	0.00689
PT6	HS1	0.00669
PT7	HS1	0.00682
PT8	HS1	0.00675
PT9	HS1	0.00682
PT10	HS1	0.00772
PT11	HS1	0.0069
PT12	HS1	0.00669
PT13	HS1	0.00681
PT14	HS1	0.00691
PT15	HS1	0.00722
PT16	HS1	0.00787
PT17	HS1	0.00728
PT18	HS1	0.00725
PT19	HS1	0.00685
PT20	HS1	0.00685
PT21	HS1	0.00722
PT22	HS1	0.0085
PTX	HS1	0.00703
PTY	HS1	0.00585
PTMT	HS1	0
PTUL	HS1	0.01225
PTUP	HS1	0.00958
PT1	HS2	0.00652
PT2A	HS2	0.01004
PT2B	HS2	0.00479
PT3	HS2	0.0069
PT4	HS2	0.006
PT5	HS2	0.00613
PT6	HS2	0.00609
PT7	HS2	0.00624
PT8	HS2	0.00633
PT9	HS2	0.00778
PT10	HS2	0.00706
PT11	HS2	0.00675
PT12	HS2	0.0066
PT13	HS2	0.00659
PT14	HS2	0.00744
PT15	HS2	0.00698
PT16	HS2	0.00723
PT17	HS2	0.00696
PT18	HS2	0.00698
PT19	HS2	0.00644
PT20	HS2	0.00669
PT21	HS2	0.0072
PT22	HS2	0.00854
PTX	HS2	0.0067
PTY	HS2	0.00568
PTMT	HS2	0
PTUL	HS2	0.00987
PTUP	HS2	0.00802
PT1	HS3	0.00654
PT2A	HS3	0.00766
PT2B	HS3	0.00712
PT3	HS3	0.00408
PT4	HS3	0.00737
PT5	HS3	0.00699
PT6	HS3	0.00795
PT7	HS3	0.00712
PT8	HS3	0.0075
PT9	HS3	0.00735
PT10	HS3	0.00784
PT11	HS3	0.00758
PT12	HS3	0.00746
PT13	HS3	0.00712
PT14	HS3	0.00728
PT15	HS3	0.00727
PT16	HS3	0.00731
PT17	HS3	0.00763
PT18	HS3	0.00737
PT19	HS3	0.00715
PT20	HS3	0.00739
PT21	HS3	0.00751
PT22	HS3	0.00861
PTX	HS3	0.00777
PTY	HS3	0.00578
PTMT	HS3	0
PTUL	HS3	0.0088
PTUP	HS3	0.00654
PT1	HS4	0.00737
PT2A	HS4	0.008
PT2B	HS4	0.00719
PT3	HS4	0.00864
PT4	HS4	0.12315
PT5	HS4	0.00675
PT6	HS4	0.00667
PT7	HS4	0.00751
PT8	HS4	0.00711
PT9	HS4	0.00817
PT10	HS4	0.00782
PT11	HS4	0.00752
PT12	HS4	0.00818
PT13	HS4	0.00726
PT14	HS4	0.00752
PT15	HS4	0.00723
PT16	HS4	0.00772
PT17	HS4	0.00752
PT18	HS4	0.00741
PT19	HS4	0.00727
PT20	HS4	0.0075
PT21	HS4	0.00751
PT22	HS4	0.0081
PTX	HS4	0.00708
PTY	HS4	0.00598
PTMT	HS4	0
PTUL	HS4	0.0107
PTUP	HS4	0.00752
PT1	HS5	0.00712
PT2A	HS5	0.00749
PT2B	HS5	0.00695
PT3	HS5	0.00878
PT4	HS5	0.00722
PT5	HS5	0.25809
PT6	HS5	0.00787
PT7	HS5	0.00679
PT8	HS5	0.00692
PT9	HS5	0.00728
PT10	HS5	0.00765
PT11	HS5	0.00739
PT12	HS5	0.0074
PT13	HS5	0.00703
PT14	HS5	0.00713
PT15	HS5	0.00717
PT16	HS5	0.00729
PT17	HS5	0.00784
PT18	HS5	0.00729
PT19	HS5	0.00742
PT20	HS5	0.00712
PT21	HS5	0.00728
PT22	HS5	0.00925
PTX	HS5	0.00772
PTY	HS5	0.00563
PTMT	HS5	0
PTUL	HS5	0.0149
PTUP	HS5	0.0085
PT1	HS6	0.00675
PT2A	HS6	0.00746
PT2B	HS6	0.00718
PT3	HS6	0.00815
PT4	HS6	0.0067
