ref	tar	nrc
MGA1	GGA1	0.01191
MGA2	GGA1	0.00255
MGA3	GGA1	0.00236
MGA4	GGA1	0.00234
MGA5	GGA1	0.00223
MGA6	GGA1	0.0024
MGA7	GGA1	0.00202
MGA8	GGA1	0.00239
MGA9	GGA1	0.00206
MGA10	GGA1	0.00204
MGA11	GGA1	0.00214
MGA12	GGA1	0.00179
MGA13	GGA1	0.0018
MGA14	GGA1	0.00186
MGA15	GGA1	0.00181
MGA16	GGA1	0.00159
MGA17	GGA1	0.00176
MGA18	GGA1	1.00E-05
MGA19	GGA1	0.00152
MGA20	GGA1	0.00155
MGA21	GGA1	0.00112
MGA22	GGA1	0.00166
MGA23	GGA1	0.00126
MGA24	GGA1	0.00138
MGA25	GGA1	0.00113
MGA26	GGA1	0.00133
MGA27	GGA1	0.00015
MGA28	GGA1	0.00084
MGA29	GGA1	0.00128
MGA30	GGA1	0.00134
MGAMT	GGA1	0
MGAW	GGA1	0.00133
MGAZ	GGA1	0.00259
MGAUL	GGA1	0.00265
MGAUP	GGA1	0.00409
MGA1	GGA2	0.00127
MGA2	GGA2	0.00167
MGA3	GGA2	0.00274
MGA4	GGA2	0.00184
MGA5	GGA2	0.00184
MGA6	GGA2	0.00201
MGA7	GGA2	0.00162
MGA8	GGA2	0.00193
MGA9	GGA2	0.00165
MGA10	GGA2	0.00166
MGA11	GGA2	0.00172
MGA12	GGA2	0.00147
MGA13	GGA2	0.00145
MGA14	GGA2	0.00149
MGA15	GGA2	0.00141
MGA16	GGA2	0.00126
MGA17	GGA2	0.0014
MGA18	GGA2	-1.00E-05
MGA19	GGA2	0.00128
MGA20	GGA2	0.00122
MGA21	GGA2	0.00092
MGA22	GGA2	0.00132
MGA23	GGA2	0.001
MGA24	GGA2	0.0011
MGA25	GGA2	0.00091
MGA26	GGA2	0.00105
MGA27	GGA2	7.00E-05
MGA28	GGA2	0.00067
MGA29	GGA2	0.00112
MGA30	GGA2	0.0011
MGAMT	GGA2	0
MGAW	GGA2	0.00109
MGAZ	GGA2	0.00203
MGAUL	GGA2	0.0022
MGAUP	GGA2	0.00334
MGA1	GGA3	0.00065
MGA2	GGA3	0.01463
MGA3	GGA3	0.00129
MGA4	GGA3	0.0013
MGA5	GGA3	0.00132
MGA6	GGA3	0.00148
MGA7	GGA3	0.00126
MGA8	GGA3	0.00152
MGA9	GGA3	0.00139
MGA10	GGA3	0.00132
MGA11	GGA3	0.00138
MGA12	GGA3	0.00119
MGA13	GGA3	0.00118
MGA14	GGA3	0.00124
MGA15	GGA3	0.00119
MGA16	GGA3	0.00111
MGA17	GGA3	0.00115
MGA18	GGA3	-1.00E-05
MGA19	GGA3	0.00108
MGA20	GGA3	0.00102
MGA21	GGA3	8.00E-04
MGA22	GGA3	0.00114
MGA23	GGA3	0.00091
MGA24	GGA3	0.00095
MGA25	GGA3	0.00079
MGA26	GGA3	0.00092
MGA27	GGA3	0.00015
MGA28	GGA3	0.00063
MGA29	GGA3	0.00091
MGA30	GGA3	0.00094
MGAMT	GGA3	0
MGAW	GGA3	0.00089
MGAZ	GGA3	0.00151
MGAUL	GGA3	0.00189
MGAUP	GGA3	0.00292
MGA1	GGA4	0.00045
MGA2	GGA4	0.00087
MGA3	GGA4	0.00104
MGA4	GGA4	0.00151
MGA5	GGA4	0.00109
MGA6	GGA4	0.00122
MGA7	GGA4	0.00106
MGA8	GGA4	0.00127
MGA9	GGA4	0.00144
MGA10	GGA4	0.00112
MGA11	GGA4	0.00118
MGA12	GGA4	0.00096
MGA13	GGA4	0.00097
MGA14	GGA4	0.00099
MGA15	GGA4	0.00098
MGA16	GGA4	0.00085
MGA17	GGA4	0.00093
MGA18	GGA4	-3.00E-05
MGA19	GGA4	0.00085
MGA20	GGA4	0.00088
MGA21	GGA4	0.00066
MGA22	GGA4	9.00E-04
MGA23	GGA4	0.00074
MGA24	GGA4	0.00076
MGA25	GGA4	0.00066
MGA26	GGA4	7.00E-04
MGA27	GGA4	1.00E-05
MGA28	GGA4	0.00046
MGA29	GGA4	0.00073
MGA30	GGA4	0.00074
MGAMT	GGA4	0
MGAW	GGA4	8.00E-04
MGAZ	GGA4	0.00126
MGAUL	GGA4	0.00166
MGAUP	GGA4	0.0023
MGA1	GGA5	3.00E-05
MGA2	GGA5	0.00055
MGA3	GGA5	0.00062
MGA4	GGA5	0.00075
MGA5	GGA5	0.01227
MGA6	GGA5	0.00082
MGA7	GGA5	0.00071
MGA8	GGA5	0.00085
MGA9	GGA5	0.00089
MGA10	GGA5	0.00072
MGA11	GGA5	8.00E-04
MGA12	GGA5	0.00071
MGA13	GGA5	0.00069
MGA14	GGA5	0.00068
MGA15	GGA5	0.00074
MGA16	GGA5	0.00063
MGA17	GGA5	0.00071
MGA18	GGA5	1.00E-05
MGA19	GGA5	0.00066
MGA20	GGA5	0.00063
MGA21	GGA5	5.00E-04
MGA22	GGA5	0.00069
MGA23	GGA5	6.00E-04
MGA24	GGA5	0.00056
MGA25	GGA5	0.00052
MGA26	GGA5	0.00056
MGA27	GGA5	0.00014
MGA28	GGA5	0.00039
MGA29	GGA5	0.00054
MGA30	GGA5	0.00057
MGAMT	GGA5	0
MGAW	GGA5	0.00055
MGAZ	GGA5	0.00083
MGAUL	GGA5	0.00145
MGAUP	GGA5	0.00253
MGA1	GGA6	-0.00017
MGA2	GGA6	0.00028
MGA3	GGA6	0.00041
MGA4	GGA6	0.00057
MGA5	GGA6	0.00051
MGA6	GGA6	0.00061
MGA7	GGA6	0.00077
MGA8	GGA6	0.02564
MGA9	GGA6	0.00068
MGA10	GGA6	0.00066
MGA11	GGA6	6.00E-04
MGA12	GGA6	0.00056
MGA13	GGA6	0.00055
MGA14	GGA6	0.00052
MGA15	GGA6	0.00059
MGA16	GGA6	0.00049
MGA17	GGA6	0.00056
MGA18	GGA6	0
MGA19	GGA6	0.00051
MGA20	GGA6	0.00053
MGA21	GGA6	0.00043
MGA22	GGA6	0.00054
MGA23	GGA6	0.00045
MGA24	GGA6	0.00045
MGA25	GGA6	0.00042
MGA26	GGA6	0.00042
MGA27	GGA6	0.00012
MGA28	GGA6	0.00032
MGA29	GGA6	0.00045
MGA30	GGA6	0.00041
MGAMT	GGA6	0
MGAW	GGA6	0.00044
MGAZ	GGA6	0.00058
MGAUL	GGA6	0.00131
MGAUP	GGA6	0.00251
MGA1	GGA7	-0.00043
MGA2	GGA7	1.00E-04
MGA3	GGA7	0.00022
MGA4	GGA7	0.00033
MGA5	GGA7	0.00036
MGA6	GGA7	0.00046
MGA7	GGA7	0.02599
MGA8	GGA7	0.00046
MGA9	GGA7	0.00054
MGA10	GGA7	0.00043
MGA11	GGA7	0.00051
MGA12	GGA7	0.00043
MGA13	GGA7	0.00047
MGA14	GGA7	0.00047
MGA15	GGA7	0.00048
MGA16	GGA7	0.00042
MGA17	GGA7	0.00046
MGA18	GGA7	-2.00E-05
MGA19	GGA7	0.00042
MGA20	GGA7	0.00043
MGA21	GGA7	0.00036
MGA22	GGA7	0.00048
MGA23	GGA7	4.00E-04
MGA24	GGA7	0.00041
MGA25	GGA7	0.00037
MGA26	GGA7	0.00036
MGA27	GGA7	6.00E-05
MGA28	GGA7	0.00029
MGA29	GGA7	0.00036
MGA30	GGA7	4.00E-04
MGAMT	GGA7	0
MGAW	GGA7	0.00037
MGAZ	GGA7	0.00042
MGAUL	GGA7	0.00131
MGAUP	GGA7	0.00262
MGA1	GGA8	-0.00031
MGA2	GGA8	0.00022
MGA3	GGA8	0.00031
MGA4	GGA8	0.00042
MGA5	GGA8	0.00044
MGA6	GGA8	0.00054
