ref	tar	nrc
GGA1	MGA1	0.01156
GGA2	MGA1	0.00168
GGA3	MGA1	0.00159
GGA4	MGA1	0.00179
GGA5	MGA1	0.00173
GGA6	MGA1	0.00167
GGA7	MGA1	0.00164
GGA8	MGA1	0.00162
GGA9	MGA1	0.00139
GGA10	MGA1	0.00143
GGA11	MGA1	0.00145
GGA12	MGA1	0.00148
GGA13	MGA1	0.00136
GGA14	MGA1	0.00128
GGA15	MGA1	0.00118
GGA16	MGA1	0.00019
GGA17	MGA1	0.00108
GGA18	MGA1	0.00136
GGA19	MGA1	0.00123
GGA20	MGA1	0.00119
GGA21	MGA1	0.00094
GGA22	MGA1	0.00105
GGA23	MGA1	0.00077
GGA24	MGA1	0.00079
GGA25	MGA1	0.00069
GGA26	MGA1	0.00076
GGA27	MGA1	0.00132
GGA28	MGA1	0.00089
GGA30	MGA1	4.00E-05
GGA31	MGA1	4.00E-05
GGA32	MGA1	6.00E-05
GGA33	MGA1	0.00024
GGALG	MGA1	0.00107
GGAMT	MGA1	0
GGAW	MGA1	0.00154
GGAZ	MGA1	0.00215
GGAUL	MGA1	0.00463
GGAUP	MGA1	0.0012
GGA1	MGA2	0.00092
GGA2	MGA2	0.00073
GGA3	MGA2	0.01437
GGA4	MGA2	9.00E-04
GGA5	MGA2	0.00098
GGA6	MGA2	0.00105
GGA7	MGA2	0.00102
GGA8	MGA2	0.00105
GGA9	MGA2	0.00094
GGA10	MGA2	0.00098
GGA11	MGA2	0.00094
GGA12	MGA2	0.00098
GGA13	MGA2	0.00093
GGA14	MGA2	0.00086
GGA15	MGA2	0.00083
GGA16	MGA2	0.00016
GGA17	MGA2	0.00077
GGA18	MGA2	0.00094
GGA19	MGA2	0.00085
GGA20	MGA2	8.00E-04
GGA21	MGA2	0.00068
GGA22	MGA2	0.00079
GGA23	MGA2	0.00056
GGA24	MGA2	0.00059
GGA25	MGA2	0.00053
GGA26	MGA2	5.00E-04
GGA27	MGA2	9.00E-04
GGA28	MGA2	0.00061
GGA30	MGA2	2.00E-05
GGA31	MGA2	2.00E-05
GGA32	MGA2	7.00E-05
GGA33	MGA2	2.00E-04
GGALG	MGA2	0.00072
GGAMT	MGA2	0
GGAW	MGA2	0.001
GGAZ	MGA2	0.00122
GGAUL	MGA2	0.00392
GGAUP	MGA2	0.00062
GGA1	MGA3	0.00095
GGA2	MGA3	0.00279
GGA3	MGA3	0.00125
GGA4	MGA3	0.00141
GGA5	MGA3	0.00133
GGA6	MGA3	0.00134
GGA7	MGA3	0.00132
GGA8	MGA3	0.00133
GGA9	MGA3	0.00114
GGA10	MGA3	0.00118
GGA11	MGA3	0.00119
GGA12	MGA3	0.00118
GGA13	MGA3	0.00112
GGA14	MGA3	0.00103
GGA15	MGA3	0.00094
GGA16	MGA3	0.00013
GGA17	MGA3	9.00E-04
GGA18	MGA3	0.00109
GGA19	MGA3	0.00099
GGA20	MGA3	0.00097
GGA21	MGA3	0.00078
GGA22	MGA3	0.00089
GGA23	MGA3	0.00066
GGA24	MGA3	0.00062
GGA25	MGA3	0.00054
GGA26	MGA3	0.00059
GGA27	MGA3	0.00105
GGA28	MGA3	0.00073
GGA30	MGA3	2.00E-05
GGA31	MGA3	3.00E-05
GGA32	MGA3	4.00E-05
GGA33	MGA3	0.00019
GGALG	MGA3	0.00078
GGAMT	MGA3	0
GGAW	MGA3	0.00123
GGAZ	MGA3	0.00174
GGAUL	MGA3	0.00483
GGAUP	MGA3	0.00085
GGA1	MGA4	0.00013
GGA2	MGA4	0.00045
GGA3	MGA4	0.00054
GGA4	MGA4	0.00125
GGA5	MGA4	0.00082
GGA6	MGA4	0.00087
GGA7	MGA4	0.00086
GGA8	MGA4	0.00081
GGA9	MGA4	0.00076
GGA10	MGA4	0.00078
GGA11	MGA4	0.00079
GGA12	MGA4	0.00079
GGA13	MGA4	0.00076
GGA14	MGA4	0.00069
GGA15	MGA4	0.00067
GGA16	MGA4	0.00011
GGA17	MGA4	0.00064
GGA18	MGA4	0.00078
GGA19	MGA4	7.00E-04
GGA20	MGA4	0.00063
GGA21	MGA4	0.00054
GGA22	MGA4	0.00065
GGA23	MGA4	5.00E-04
GGA24	MGA4	0.00046
GGA25	MGA4	0.00039
GGA26	MGA4	4.00E-04
GGA27	MGA4	0.00075
GGA28	MGA4	0.00052
