ref	tar	nrc
HS1	PT1	0.03567
HS2	PT1	0.00644
HS3	PT1	0.00682
HS4	PT1	0.00701
HS5	PT1	0.00715
HS6	PT1	0.007
HS7	PT1	0.0071
HS8	PT1	0.007
HS9	PT1	0.00717
HS10	PT1	0.00759
HS11	PT1	0.00699
HS12	PT1	0.00702
HS13	PT1	0.0075
HS14	PT1	0.00726
HS15	PT1	0.00725
HS16	PT1	0.00724
HS17	PT1	0.00711
HS18	PT1	0.00755
HS19	PT1	0.00695
HS20	PT1	0.00732
HS21	PT1	0.00751
HS22	PT1	0.00711
HSX	PT1	0.00701
HSY	PT1	0.007
HSMT	PT1	0
HSAL	PT1	0.00736
HSUL	PT1	0.00591
HSUP	PT1	0.00557
HS1	PT2A	0.00561
HS2	PT2A	0.00389
HS3	PT2A	0.00569
HS4	PT2A	0.00588
HS5	PT2A	0.00576
HS6	PT2A	0.00593
HS7	PT2A	0.00588
HS8	PT2A	0.00614
HS9	PT2A	0.0062
HS10	PT2A	0.00632
HS11	PT2A	0.00612
HS12	PT2A	0.00615
HS13	PT2A	0.007
HS14	PT2A	0.00639
HS15	PT2A	0.00643
HS16	PT2A	0.00626
HS17	PT2A	0.00617
HS18	PT2A	0.00685
HS19	PT2A	0.0061
HS20	PT2A	0.0064
HS21	PT2A	0.00689
HS22	PT2A	0.00629
HSX	PT2A	0.00616
HSY	PT2A	0.00642
HSMT	PT2A	0
HSAL	PT2A	0.00975
HSUL	PT2A	0.00509
HSUP	PT2A	0.00473
HS1	PT2B	0.00545
HS2	PT2B	0.00182
HS3	PT2B	0.00578
HS4	PT2B	0.00554
HS5	PT2B	0.00576
HS6	PT2B	0.00585
HS7	PT2B	0.00589
HS8	PT2B	0.00612
HS9	PT2B	0.00601
HS10	PT2B	0.00633
HS11	PT2B	0.0062
HS12	PT2B	0.00619
HS13	PT2B	0.00707
HS14	PT2B	0.00713
HS15	PT2B	0.00666
HS16	PT2B	0.00612
HS17	PT2B	0.00626
HS18	PT2B	0.00679
HS19	PT2B	0.00627
HS20	PT2B	0.00647
HS21	PT2B	0.00767
HS22	PT2B	0.00696
HSX	PT2B	0.00603
HSY	PT2B	0.00605
HSMT	PT2B	0
HSAL	PT2B	0.00611
HSUL	PT2B	0.00486
HSUP	PT2B	0.00476
HS1	PT3	0.0063
HS2	PT3	0.00599
HS3	PT3	0.00231
HS4	PT3	0.00675
HS5	PT3	0.00647
HS6	PT3	0.00744
HS7	PT3	0.00682
HS8	PT3	0.0073
HS9	PT3	0.00672
HS10	PT3	0.00705
HS11	PT3	0.00702
HS12	PT3	0.00727
HS13	PT3	0.00739
HS14	PT3	0.00715
HS15	PT3	0.00689
HS16	PT3	0.00692
HS17	PT3	0.0071
HS18	PT3	0.00736
HS19	PT3	0.00702
HS20	PT3	0.0072
HS21	PT3	0.00744
HS22	PT3	0.00686
HSX	PT3	0.00699
HSY	PT3	0.00645
HSMT	PT3	0
HSAL	PT3	0.00912
HSUL	PT3	0.00504
HSUP	PT3	0.00495
HS1	PT4	0.00612
HS2	PT4	0.0061
HS3	PT4	0.00676
HS4	PT4	0.1214
HS5	PT4	0.00652
HS6	PT4	0.00651
HS7	PT4	0.00692
HS8	PT4	0.00699
HS9	PT4	0.00693
HS10	PT4	0.00704
HS11	PT4	0.00719
HS12	PT4	0.00719
HS13	PT4	0.00707
HS14	PT4	0.00708
HS15	PT4	0.0069
HS16	PT4	0.00704
HS17	PT4	0.0068
HS18	PT4	0.00713
HS19	PT4	0.00681
HS20	PT4	0.00709
HS21	PT4	0.00773
HS22	PT4	0.00654
HSX	PT4	0.00676
HSY	PT4	0.00645
HSMT	PT4	0
HSAL	PT4	0.01007
HSUL	PT4	0.00477
HSUP	PT4	0.00494
HS1	PT5	0.00608
HS2	PT5	0.00589
HS3	PT5	0.00649
HS4	PT5	0.00612
HS5	PT5	0.25512
HS6	PT5	0.0068
HS7	PT5	0.00643
HS8	PT5	0.0067
HS9	PT5	0.00652
HS10	PT5	0.0067
HS11	PT5	0.00681
HS12	PT5	0.00676
HS13	PT5	0.00701
HS14	PT5	0.007
HS15	PT5	0.00683
HS16	PT5	0.0065
HS17	PT5	0.00668
HS18	PT5	0.00705
HS19	PT5	0.00667
HS20	PT5	0.00688
HS21	PT5	0.00696
HS22	PT5	0.00639
HSX	PT5	0.00671
HSY	PT5	0.00644
HSMT	PT5	0
HSAL	PT5	0.01242
HSUL	PT5	0.00481
HSUP	PT5	0.00464
HS1	PT6	0.00616
HS2	PT6	0.00596
HS3	PT6	0.00731
HS4	PT6	0.00632
HS5	PT6	0.00666
HS6	PT6	0.00443
HS7	PT6	0.00654
HS8	PT6	0.00691
HS9	PT6	0.00664
HS10	PT6	0.00686
HS11	PT6	0.00686
HS12	PT6	0.00695
HS13	PT6	0.00725
HS14	PT6	0.00715
HS15	PT6	0.0069
HS16	PT6	0.0067
HS17	PT6	0.0069
HS18	PT6	0.0072
HS19	PT6	0.00693
HS20	PT6	0.00705
HS21	PT6	0.00725
HS22	PT6	0.00664
HSX	PT6	0.00682
HSY	PT6	0.00662
HSMT	PT6	0
HSAL	PT6	0.00803
HSUL	PT6	0.00496
HSUP	PT6	0.00477
HS1	PT7	0.00805
HS2	PT7	0.00688
HS3	PT7	0.00735
HS4	PT7	0.00722
HS5	PT7	0.00712
HS6	PT7	0.00674
HS7	PT7	0.04038
HS8	PT7	0.00721
HS9	PT7	0.00723
HS10	PT7	0.00868
HS11	PT7	0.00781
HS12	PT7	0.00731
HS13	PT7	0.00742
HS14	PT7	0.0073
HS15	PT7	0.00713
HS16	PT7	0.00743
HS17	PT7	0.00776
HS18	PT7	0.00756
HS19	PT7	0.00747
HS20	PT7	0.00798
HS21	PT7	0.0081
HS22	PT7	0.00738
HSX	PT7	0.00698
HSY	PT7	0.00709
HSMT	PT7	0
HSAL	PT7	0.0108
HSUL	PT7	0.0061
HSUP	PT7	0.00778
HS1	PT8	0.006
HS2	PT8	0.00578
HS3	PT8	0.00655
HS4	PT8	0.00614
HS5	PT8	0.00607
HS6	PT8	0.00616
HS7	PT8	0.00661
HS8	PT8	0.00343
HS9	PT8	0.00629
HS10	PT8	0.00647
HS11	PT8	0.00663
HS12	PT8	0.007
HS13	PT8	0.00671
HS14	PT8	0.00679
HS15	PT8	0.00654
HS16	PT8	0.00652
HS17	PT8	0.00638
HS18	PT8	0.00676
HS19	PT8	0.00652
HS20	PT8	0.00663
HS21	PT8	0.00676
HS22	PT8	0.00625
HSX	PT8	0.00643
HSY	PT8	0.00622
HSMT	PT8	0
HSAL	PT8	0.00675
HSUL	PT8	0.00475
HSUP	PT8	0.00451
HS1	PT9	0.00594
HS2	PT9	0.00838
HS3	PT9	0.00623
HS4	PT9	0.00661
HS5	PT9	0.00617
HS6	PT9	0.00644
HS7	PT9	0.00628
HS8	PT9	0.00671
HS9	PT9	0.00606
HS10	PT9	0.00671
HS11	PT9	0.00648
HS12	PT9	0.00666
HS13	PT9	0.00761
HS14	PT9	0.00695
HS15	PT9	0.00668
HS16	PT9	0.00659
HS17	PT9	0.0068
HS18	PT9	0.00763
HS19	PT9	0.00653
HS20	PT9	0.00768
HS21	PT9	0.00822
HS22	PT9	0.00683
HSX	PT9	0.00654
HSY	PT9	0.00643
HSMT	PT9	0
HSAL	PT9	0.00698
HSUL	PT9	0.00565
HSUP	PT9	0.00574
HS1	PT10	0.00638
HS2	PT10	0.0062
HS3	PT10	0.00634
HS4	PT10	0.00634
HS5	PT10	0.00621
HS6	PT10	0.00638
HS7	PT10	0.00635
HS8	PT10	0.0066
HS9	PT10	0.00669
HS10	PT10	0.00968
HS11	PT10	0.00693
HS12	PT10	0.00662
HS13	PT10	0.00701
HS14	PT10	0.00709
HS15	PT10	0.00677
HS16	PT10	0.00719
HS17	PT10	0.00684
HS18	PT10	0.00724
HS19	PT10	0.00677
HS20	PT10	0.00681
HS21	PT10	0.00731
HS22	PT10	0.00685
HSX	PT10	0.00653
HSY	PT10	0.00656
HSMT	PT10	0
HSAL	PT10	0.00723
HSUL	PT10	0.0055
HSUP	PT10	0.00512
HS1	PT11	0.00605
HS2	PT11	0.00611
HS3	PT11	0.00698
HS4	PT11	0.00644
HS5	PT11	0.00662
HS6	PT11	0.00681
HS7	PT11	0.00716
HS8	PT11	0.00724
HS9	PT11	0.00662
HS10	PT11	0.00704
HS11	PT11	0.00492
HS12	PT11	0.00754
HS13	PT11	0.00731
HS14	PT11	0.00707
HS15	PT11	0.00685
HS16	PT11	0.00693
HS17	PT11	0.00682
HS18	PT11	0.00719
HS19	PT11	0.00688
HS20	PT11	0.00688
HS21	PT11	0.00708
HS22	PT11	0.00655
HSX	PT11	0.00689
HSY	PT11	0.0065
HSMT	PT11	0
HSAL	PT11	0.00723
HSUL	PT11	0.00505
HSUP	PT11	0.00498
HS1	PT12	0.00645
HS2	PT12	0.00656
HS3	PT12	0.00704
HS4	PT12	0.00723
HS5	PT12	0.00699
HS6	PT12	0.00708
HS7	PT12	0.00776
HS8	PT12	0.00734
HS9	PT12	0.00704
HS10	PT12	0.00719
HS11	PT12	0.00744
HS12	PT12	0.20772
HS13	PT12	0.00767
HS14	PT12	0.00747
HS15	PT12	0.0074
HS16	PT12	0.00725
HS17	PT12	0.00726
HS18	PT12	0.00765
HS19	PT12	0.00733
HS20	PT12	0.00776
HS21	PT12	0.00766
HS22	PT12	0.00708
HSX	PT12	0.00732
HSY	PT12	0.00702
HSMT	PT12	0
HSAL	PT12	0.01023
HSUL	PT12	0.00559
HSUP	PT12	0.00526
HS1	PT13	0.00493
HS2	PT13	0.00478
HS3	PT13	0.00513
HS4	PT13	0.0051
HS5	PT13	0.0052
HS6	PT13	0.00546
HS7	PT13	0.0053
HS8	PT13	0.00558
HS9	PT13	0.00558
HS10	PT13	0.00565
