ref	tar	nrc	ir.label
MGA1	GGA1	0.85198	"Without IR (0)"
MGA2	GGA1	0.97842	"Without IR (0)"
MGA3	GGA1	0.9779	"Without IR (0)"
MGA4	GGA1	0.98073	"Without IR (0)"
MGA5	GGA1	0.98242	"Without IR (0)"
MGA6	GGA1	0.98209	"Without IR (0)"
MGA7	GGA1	0.98561	"Without IR (0)"
MGA8	GGA1	0.98564	"Without IR (0)"
MGA9	GGA1	0.98686	"Without IR (0)"
MGA10	GGA1	0.98624	"Without IR (0)"
MGA11	GGA1	0.98734	"Without IR (0)"
MGA12	GGA1	0.98791	"Without IR (0)"
MGA13	GGA1	0.98868	"Without IR (0)"
MGA14	GGA1	0.98845	"Without IR (0)"
MGA15	GGA1	0.98862	"Without IR (0)"
MGA16	GGA1	0.98953	"Without IR (0)"
MGA17	GGA1	0.99009	"Without IR (0)"
MGA18	GGA1	0.99478	"Without IR (0)"
MGA19	GGA1	0.99014	"Without IR (0)"
MGA20	GGA1	0.9893	"Without IR (0)"
MGA21	GGA1	0.99072	"Without IR (0)"
MGA22	GGA1	0.98883	"Without IR (0)"
MGA23	GGA1	0.99121	"Without IR (0)"
MGA24	GGA1	0.99128	"Without IR (0)"
MGA25	GGA1	0.99039	"Without IR (0)"
MGA26	GGA1	0.99071	"Without IR (0)"
MGA27	GGA1	0.99347	"Without IR (0)"
MGA28	GGA1	0.99148	"Without IR (0)"
MGA29	GGA1	0.99108	"Without IR (0)"
MGA30	GGA1	0.99156	"Without IR (0)"
MGAMT	GGA1	1	"Without IR (0)"
MGAW	GGA1	0.99214	"Without IR (0)"
MGAZ	GGA1	0.97882	"Without IR (0)"
MGAUL	GGA1	0.98519	"Without IR (0)"
MGAUP	GGA1	0.97727	"Without IR (0)"
MGA1	GGA2	0.97716	"Without IR (0)"
MGA2	GGA2	0.98015	"Without IR (0)"
MGA3	GGA2	0.89504	"Without IR (0)"
MGA4	GGA2	0.98204	"Without IR (0)"
MGA5	GGA2	0.98339	"Without IR (0)"
MGA6	GGA2	0.93336	"Without IR (0)"
MGA7	GGA2	0.986	"Without IR (0)"
MGA8	GGA2	0.98596	"Without IR (0)"
MGA9	GGA2	0.98706	"Without IR (0)"
MGA10	GGA2	0.98652	"Without IR (0)"
MGA11	GGA2	0.9874	"Without IR (0)"
MGA12	GGA2	0.98786	"Without IR (0)"
MGA13	GGA2	0.98851	"Without IR (0)"
MGA14	GGA2	0.98835	"Without IR (0)"
MGA15	GGA2	0.98842	"Without IR (0)"
MGA16	GGA2	0.98917	"Without IR (0)"
MGA17	GGA2	0.98964	"Without IR (0)"
MGA18	GGA2	0.99341	"Without IR (0)"
MGA19	GGA2	0.98974	"Without IR (0)"
MGA20	GGA2	0.98906	"Without IR (0)"
MGA21	GGA2	0.99016	"Without IR (0)"
MGA22	GGA2	0.98864	"Without IR (0)"
MGA23	GGA2	0.99062	"Without IR (0)"
MGA24	GGA2	0.99066	"Without IR (0)"
MGA25	GGA2	0.98996	"Without IR (0)"
MGA26	GGA2	0.99022	"Without IR (0)"
MGA27	GGA2	0.9924	"Without IR (0)"
MGA28	GGA2	0.99079	"Without IR (0)"
MGA29	GGA2	0.99041	"Without IR (0)"
MGA30	GGA2	0.99082	"Without IR (0)"
MGAMT	GGA2	1	"Without IR (0)"
MGAW	GGA2	0.99128	"Without IR (0)"
MGAZ	GGA2	0.98059	"Without IR (0)"
MGAUL	GGA2	0.9857	"Without IR (0)"
MGAUP	GGA2	0.97939	"Without IR (0)"
MGA1	GGA3	0.98118	"Without IR (0)"
MGA2	GGA3	0.85672	"Without IR (0)"
MGA3	GGA3	0.98308	"Without IR (0)"
MGA4	GGA3	0.98468	"Without IR (0)"
MGA5	GGA3	0.98565	"Without IR (0)"
MGA6	GGA3	0.98559	"Without IR (0)"
MGA7	GGA3	0.98768	"Without IR (0)"
MGA8	GGA3	0.98764	"Without IR (0)"
MGA9	GGA3	0.98857	"Without IR (0)"
MGA10	GGA3	0.98811	"Without IR (0)"
MGA11	GGA3	0.98855	"Without IR (0)"
MGA12	GGA3	0.98924	"Without IR (0)"
MGA13	GGA3	0.98971	"Without IR (0)"
MGA14	GGA3	0.98957	"Without IR (0)"
MGA15	GGA3	0.98967	"Without IR (0)"
MGA16	GGA3	0.99028	"Without IR (0)"
MGA17	GGA3	0.99058	"Without IR (0)"
MGA18	GGA3	0.99415	"Without IR (0)"
MGA19	GGA3	0.99067	"Without IR (0)"
MGA20	GGA3	0.99013	"Without IR (0)"
MGA21	GGA3	0.99109	"Without IR (0)"
MGA22	GGA3	0.98983	"Without IR (0)"
MGA23	GGA3	0.99138	"Without IR (0)"
MGA24	GGA3	0.99152	"Without IR (0)"
MGA25	GGA3	0.99089	"Without IR (0)"
MGA26	GGA3	0.99114	"Without IR (0)"
MGA27	GGA3	0.99325	"Without IR (0)"
MGA28	GGA3	0.99157	"Without IR (0)"
