ref	tar	nrc	ir	ir.label
PT1	HS1	0.30219	0	"Without IR (0)"
PT2A	HS1	0.84561	0	"Without IR (0)"
PT2B	HS1	0.84499	0	"Without IR (0)"
PT3	HS1	0.83918	0	"Without IR (0)"
PT4	HS1	0.83938	0	"Without IR (0)"
PT5	HS1	0.84023	0	"Without IR (0)"
PT6	HS1	0.84043	0	"Without IR (0)"
PT7	HS1	0.83891	0	"Without IR (0)"
PT8	HS1	0.84097	0	"Without IR (0)"
PT9	HS1	0.84512	0	"Without IR (0)"
PT10	HS1	0.8423	0	"Without IR (0)"
PT11	HS1	0.84322	0	"Without IR (0)"
PT12	HS1	0.84103	0	"Without IR (0)"
PT13	HS1	0.84945	0	"Without IR (0)"
PT14	HS1	0.84822	0	"Without IR (0)"
PT15	HS1	0.84985	0	"Without IR (0)"
PT16	HS1	0.8478	0	"Without IR (0)"
PT17	HS1	0.84958	0	"Without IR (0)"
PT18	HS1	0.85218	0	"Without IR (0)"
PT19	HS1	0.84847	0	"Without IR (0)"
PT20	HS1	0.85049	0	"Without IR (0)"
PT21	HS1	0.86072	0	"Without IR (0)"
PT22	HS1	0.85915	0	"Without IR (0)"
PTX	HS1	0.84035	0	"Without IR (0)"
PTY	HS1	0.86974	0	"Without IR (0)"
PTMT	HS1	1	0	"Without IR (0)"
PTUL	HS1	0.83276	0	"Without IR (0)"
PTUP	HS1	0.84813	0	"Without IR (0)"
PT1	HS2	0.90909	0	"Without IR (0)"
PT2A	HS2	0.63752	0	"Without IR (0)"
PT2B	HS2	0.57155	0	"Without IR (0)"
PT3	HS2	0.91168	0	"Without IR (0)"
PT4	HS2	0.91146	0	"Without IR (0)"
PT5	HS2	0.91184	0	"Without IR (0)"
PT6	HS2	0.91198	0	"Without IR (0)"
PT7	HS2	0.91181	0	"Without IR (0)"
PT8	HS2	0.91294	0	"Without IR (0)"
PT9	HS2	0.91488	0	"Without IR (0)"
PT10	HS2	0.91455	0	"Without IR (0)"
PT11	HS2	0.91458	0	"Without IR (0)"
PT12	HS2	0.9138	0	"Without IR (0)"
PT13	HS2	0.92032	0	"Without IR (0)"
PT14	HS2	0.91913	0	"Without IR (0)"
PT15	HS2	0.92132	0	"Without IR (0)"
PT16	HS2	0.91987	0	"Without IR (0)"
PT17	HS2	0.92128	0	"Without IR (0)"
PT18	HS2	0.92332	0	"Without IR (0)"
PT19	HS2	0.92205	0	"Without IR (0)"
PT20	HS2	0.92153	0	"Without IR (0)"
PT21	HS2	0.93144	0	"Without IR (0)"
PT22	HS2	0.92957	0	"Without IR (0)"
PTX	HS2	0.91063	0	"Without IR (0)"
PTY	HS2	0.93914	0	"Without IR (0)"
PTMT	HS2	1	0	"Without IR (0)"
PTUL	HS2	0.90206	0	"Without IR (0)"
PTUP	HS2	0.92234	0	"Without IR (0)"
PT1	HS3	0.91021	0	"Without IR (0)"
PT2A	HS3	0.91972	0	"Without IR (0)"
PT2B	HS3	0.91722	0	"Without IR (0)"
PT3	HS3	0.28468	0	"Without IR (0)"
PT4	HS3	0.91095	0	"Without IR (0)"
PT5	HS3	0.91227	0	"Without IR (0)"
PT6	HS3	0.91151	0	"Without IR (0)"
PT7	HS3	0.91323	0	"Without IR (0)"
PT8	HS3	0.91296	0	"Without IR (0)"
PT9	HS3	0.9174	0	"Without IR (0)"
PT10	HS3	0.91422	0	"Without IR (0)"
PT11	HS3	0.91478	0	"Without IR (0)"
PT12	HS3	0.91264	0	"Without IR (0)"
PT13	HS3	0.92209	0	"Without IR (0)"
PT14	HS3	0.92107	0	"Without IR (0)"
PT15	HS3	0.92365	0	"Without IR (0)"
PT16	HS3	0.92177	0	"Without IR (0)"
PT17	HS3	0.92447	0	"Without IR (0)"
PT18	HS3	0.92547	0	"Without IR (0)"
PT19	HS3	0.92357	0	"Without IR (0)"
PT20	HS3	0.92391	0	"Without IR (0)"
PT21	HS3	0.93432	0	"Without IR (0)"
PT22	HS3	0.93435	0	"Without IR (0)"
PTX	HS3	0.91156	0	"Without IR (0)"
PTY	HS3	0.94184	0	"Without IR (0)"
PTMT	HS3	1	0	"Without IR (0)"
PTUL	HS3	0.90991	0	"Without IR (0)"
PTUP	HS3	0.9279	0	"Without IR (0)"
PT1	HS4	0.91027	0	"Without IR (0)"
PT2A	HS4	0.91915	0	"Without IR (0)"
PT2B	HS4	0.91601	0	"Without IR (0)"
PT3	HS4	0.9113	0	"Without IR (0)"
PT4	HS4	0.41858	0	"Without IR (0)"
PT5	HS4	0.91211	0	"Without IR (0)"
PT6	HS4	0.91264	0	"Without IR (0)"
PT7	HS4	0.91266	0	"Without IR (0)"
PT8	HS4	0.91372	0	"Without IR (0)"
PT9	HS4	0.91668	0	"Without IR (0)"
PT10	HS4	0.91626	0	"Without IR (0)"
PT11	HS4	0.91416	0	"Without IR (0)"
PT12	HS4	0.9151	0	"Without IR (0)"
PT13	HS4	0.92184	0	"Without IR (0)"
PT14	HS4	0.92124	0	"Without IR (0)"
PT15	HS4	0.92405	0	"Without IR (0)"
PT16	HS4	0.92391	0	"Without IR (0)"
PT17	HS4	0.92531	0	"Without IR (0)"
PT18	HS4	0.92541	0	"Without IR (0)"
PT19	HS4	0.92598	0	"Without IR (0)"
PT20	HS4	0.92473	0	"Without IR (0)"
PT21	HS4	0.93454	0	"Without IR (0)"
PT22	HS4	0.93506	0	"Without IR (0)"
PTX	HS4	0.91049	0	"Without IR (0)"
PTY	HS4	0.94039	0	"Without IR (0)"
PTMT	HS4	1	0	"Without IR (0)"
PTUL	HS4	0.90552	0	"Without IR (0)"
PTUP	HS4	0.92695	0	"Without IR (0)"
PT1	HS5	0.91023	0	"Without IR (0)"
PT2A	HS5	0.92	0	"Without IR (0)"
PT2B	HS5	0.91719	0	"Without IR (0)"
PT3	HS5	0.91074	0	"Without IR (0)"
PT4	HS5	0.91089	0	"Without IR (0)"
PT5	HS5	0.55049	0	"Without IR (0)"
PT6	HS5	0.91052	0	"Without IR (0)"
PT7	HS5	0.91325	0	"Without IR (0)"
PT8	HS5	0.91183	0	"Without IR (0)"
PT9	HS5	0.91747	0	"Without IR (0)"
PT10	HS5	0.91452	0	"Without IR (0)"
PT11	HS5	0.91509	0	"Without IR (0)"
PT12	HS5	0.91216	0	"Without IR (0)"
PT13	HS5	0.92228	0	"Without IR (0)"
PT14	HS5	0.92142	0	"Without IR (0)"
PT15	HS5	0.92395	0	"Without IR (0)"
PT16	HS5	0.92129	0	"Without IR (0)"
PT17	HS5	0.92497	0	"Without IR (0)"
PT18	HS5	0.92554	0	"Without IR (0)"
PT19	HS5	0.92257	0	"Without IR (0)"
PT20	HS5	0.92273	0	"Without IR (0)"
PT21	HS5	0.93448	0	"Without IR (0)"
PT22	HS5	0.93477	0	"Without IR (0)"
PTX	HS5	0.9111	0	"Without IR (0)"
PTY	HS5	0.94109	0	"Without IR (0)"
PTMT	HS5	1	0	"Without IR (0)"
PTUL	HS5	0.9079	0	"Without IR (0)"
PTUP	HS5	0.92198	0	"Without IR (0)"
PT1	HS6	0.90633	0	"Without IR (0)"
PT2A	HS6	0.91567	0	"Without IR (0)"
PT2B	HS6	0.91329	0	"Without IR (0)"
PT3	HS6	0.90779	0	"Without IR (0)"
PT4	HS6	0.90788	0	"Without IR (0)"
PT5	HS6	0.9076	0	"Without IR (0)"
PT6	HS6	0.28217	0	"Without IR (0)"
PT7	HS6	0.90972	0	"Without IR (0)"
PT8	HS6	0.91091	0	"Without IR (0)"
PT9	HS6	0.9141	0	"Without IR (0)"
PT10	HS6	0.91253	0	"Without IR (0)"
PT11	HS6	0.91156	0	"Without IR (0)"
PT12	HS6	0.91091	0	"Without IR (0)"
PT13	HS6	0.91787	0	"Without IR (0)"
PT14	HS6	0.91702	0	"Without IR (0)"
PT15	HS6	0.91946	0	"Without IR (0)"
PT16	HS6	0.91997	0	"Without IR (0)"
PT17	HS6	0.92062	0	"Without IR (0)"
PT18	HS6	0.92122	0	"Without IR (0)"
PT19	HS6	0.92124	0	"Without IR (0)"
PT20	HS6	0.92189	0	"Without IR (0)"
PT21	HS6	0.93026	0	"Without IR (0)"
PT22	HS6	0.93068	0	"Without IR (0)"
PTX	HS6	0.90738	0	"Without IR (0)"
PTY	HS6	0.93824	0	"Without IR (0)"
PTMT	HS6	1	0	"Without IR (0)"
PTUL	HS6	0.90009	0	"Without IR (0)"
PTUP	HS6	0.92585	0	"Without IR (0)"
PT1	HS7	0.89887	0	"Without IR (0)"
PT2A	HS7	0.91283	0	"Without IR (0)"
PT2B	HS7	0.9102	0	"Without IR (0)"
PT3	HS7	0.90352	0	"Without IR (0)"
PT4	HS7	0.90304	0	"Without IR (0)"
PT5	HS7	0.90452	0	"Without IR (0)"
PT6	HS7	0.90376	0	"Without IR (0)"
PT7	HS7	0.34265	0	"Without IR (0)"
PT8	HS7	0.90431	0	"Without IR (0)"
PT9	HS7	0.90979	0	"Without IR (0)"
PT10	HS7	0.90458	0	"Without IR (0)"
PT11	HS7	0.90724	0	"Without IR (0)"
PT12	HS7	0.90304	0	"Without IR (0)"
PT13	HS7	0.91643	0	"Without IR (0)"
PT14	HS7	0.91498	0	"Without IR (0)"
PT15	HS7	0.91697	0	"Without IR (0)"
PT16	HS7	0.91068	0	"Without IR (0)"
PT17	HS7	0.9145	0	"Without IR (0)"
PT18	HS7	0.91913	0	"Without IR (0)"
PT19	HS7	0.91251	0	"Without IR (0)"
PT20	HS7	0.91392	0	"Without IR (0)"
PT21	HS7	0.92842	0	"Without IR (0)"
PT22	HS7	0.92586	0	"Without IR (0)"
PTX	HS7	0.90488	0	"Without IR (0)"
PTY	HS7	0.93655	0	"Without IR (0)"
PTMT	HS7	1	0	"Without IR (0)"
PTUL	HS7	0.77268	0	"Without IR (0)"
PTUP	HS7	0.90986	0	"Without IR (0)"
PT1	HS8	0.91215	0	"Without IR (0)"
PT2A	HS8	0.92052	0	"Without IR (0)"
PT2B	HS8	0.91802	0	"Without IR (0)"
PT3	HS8	0.91304	0	"Without IR (0)"
PT4	HS8	0.9127	0	"Without IR (0)"
PT5	HS8	0.91467	0	"Without IR (0)"
PT6	HS8	0.91496	0	"Without IR (0)"
PT7	HS8	0.91413	0	"Without IR (0)"
PT8	HS8	0.30964	0	"Without IR (0)"
PT9	HS8	0.91903	0	"Without IR (0)"
PT10	HS8	0.91688	0	"Without IR (0)"
PT11	HS8	0.91593	0	"Without IR (0)"
PT12	HS8	0.91499	0	"Without IR (0)"
PT13	HS8	0.92337	0	"Without IR (0)"
PT14	HS8	0.92254	0	"Without IR (0)"
PT15	HS8	0.92464	0	"Without IR (0)"
PT16	HS8	0.92358	0	"Without IR (0)"
PT17	HS8	0.92507	0	"Without IR (0)"
PT18	HS8	0.92654	0	"Without IR (0)"
PT19	HS8	0.92546	0	"Without IR (0)"
PT20	HS8	0.92521	0	"Without IR (0)"
